eat;comere;comeremos;comeran;comera;comeras
sleep;dormire;dormiremos;dormiran;dormira;dormiras
abandon;abandonare;abandonaremos;abandonaran;abandonara;abandonaras
abuse;abusare;abusaremos;abusaran;abusara;abusaras
accede;acedere;accederemos;accedaran;accedera;accederas
accelerate;acelerare;aceleraremos;aceleraran;acelerara;aceleraras
accent;acentuare;acentuaremos;acentuaran;acentuara;acentuaras
act;actuare;actuaremos;actuaran;actuara;actuaras
accustom;acostumbrare;acostumbraremos;acostumbraran;acostumbrara;acostumbraras
add;añadire;añadiras;añadiremos;añadiran;añadira
address;dirigire;dirigiras;dirigiremos;dirigiran;dirigira
admire;admirare;admiraras;admiraremos;admiraran;admirara
admit;admitire;admitiras;admitiremos;admitiran;admitira
adore;adorare;adoraras;adoraremos;adoraran;adorara
adorn;adornare;adornaras;adornaremos;adornaran;adornara
advance;avanzare;avanzaras;avanzaremos;avanzaran;avanzara
affirm;afirmare;afirmaras;afirmaremos;afirmaran;afirmara
agree;acordare;acordaras;acordaremos;acordaran;acordara
allow;permitire;permitiras;permitiremos;permitiran;permitira
announce;anunciare;anunciaras;anunciaremos;anunciaran;anunciara
annoy;molestare;molestaras;molestaremos;molestaran;molestara
answer;respondere;responderas;responderemos;responderan;respondera
apoligize;disculpare;disculparas;disculparemos;disculparan;disculpara
approve;aprobare;aprobaras;aprobaremos;aprobaran;aprobara
arrive;llegare;llegaras;llegaremos;llegaran;llegara
ask;pedire;pediras;pediremos;pediran;pedira
assure;asegurare;aseguraras;aseguraremos;aseguraran;asegurara
attack;atacare;atacaras;atacaremos;atacaran;atacara
believe;creere;creeras;creeremos;creeran;creera
belong;pertenecere;perteneceras;perteneceremos;perteneceran;pertenecera
blame;culpare;culparas;culparemos;culparan;culpara
call;llamare;llamaras;llamaremos;llamaran;llamara
carry;llevare;llevaras;llevaremos;llevaran;llevara
change;cambiare;cambiaras;cambiaremos;cambiaran;cambiara
check;comprobare;comprobaras;comprobaremos;comprobaran;comprobara
claim;reclamare;reclamaras;reclamaremos;reclamaran;reclamara
clean;limpiare;limpiaras;limpiaremos;limpiaran;limpiara
clear;despejare;despejaras;despejaremos;despejaran;despejera
climb;escalare;escalaras;escalaremos;escalaran;escalara
close;cerrare;cerraras;cerraremos;cerraran;cerrara
collect;recogere;recogeras;recogeremos;recogeran;recogera
combine;combinare;combinaras;combinaremos;combinaran;combinara
compare;comparare;compararas;compararemos;compararan;comparara
consider;considerare;consideraras;consideraremos;consideraran;considerara
consist;consistire;consisteras;consistiremos;consisteran;consistera
continue;continuare;continuaras;continuaremos;continuaran;continuara
copy;copiare;copiaras;copiaremos;copiaran;copiara
count;contare;contara;contaremos;contaran;contara
cover;cubrire;cubriras;cubriremos;cubriraran;cubrira
cry;llorare;lloraras;lloraremos;lloraran;llorara
damage;dañara;dañaras;dañaremos;dañaran;dañara
